"id","latitude","longitude"
"169","52.2892964","-1.5618131"
"170","51.4610074","-0.0060141"
"171","51.2330711","-0.2009163"
"172","51.5183788","-0.0655176"
"173","51.5183788","-0.0655176"
"174","51.1432654","0.2603945"
"175","51.5136605","-0.1328238"
"176","51.5255111","-0.0851731"
"177","51.4932858","-0.116285"
"178","50.3906033","-4.1383694"
"179","53.5866168","-2.6632875"
"180","51.598882","-0.1226744"
"181","52.4607057","-1.9952317"
"182","51.5440613","-0.4783353"
"183","51.4135079","-0.0171006"
"184","52.0395705","1.1818421"
"185","53.9929563","-1.5509716"
"186","52.659886","1.019221"
"187","51.6172286","-0.1094468"
"188","52.8616213","-1.4398729"
"189","51.5507507","-0.1657032"
"190","51.519838","-0.071298"
"191","51.6632883","-0.0691581"
"193","51.2740935","0.0742505"
"194","53.5040939","-2.2651373"
"195","55.8953295","-3.3304489"
"196","51.5722647","0.0066334"
"197","51.581776","-0.365402"
"198","51.0849385","0.6932902"
"199","51.3973937","-0.135702"
"200","51.5194197","-3.210411"
"201","51.6327347","-0.0989109"
"202","",""
"203","53.3084617","-2.6992872"
"204","52.5257621","-1.870532"
"205","51.4485361","-0.9870457"
"206","52.515461","-2.073147"
"207","51.115544","-0.191629"
"208","55.827166","-4.284431"
"209","51.3574724","0.5984657"
"210","53.7033974","-1.6424079"
"211","51.5705011","0.1298984"
"212","51.337324","-0.101803"
"213","51.5675804","-0.2369787"
"214","51.0997541","-1.7040899"
"215","51.3411962","0.5401"
"216","33.9616801","-118.3531311"
"217","53.463711","-2.060377"
"218","51.1453487","0.2186813"
"219","50.9601022","-2.3783649"
"220","51.4485361","-0.9870457"
"221","52.708497","-1.036407"
"222","51.671605","-0.3992155"
"223","52.4821518","-1.4774958"
"224","51.4658835","-3.1585574"
"225","53.4737926","-2.2385422"
"226","53.4737926","-2.2385422"
"227","51.4788307","-0.3388416"
"228","51.496513","-0.1348379"
"229","52.495943","-1.8887683"
"230","51.717474","-0.2870855"
"231","51.60404","0.0053206"
"232","53.4905106","-0.8313226"
"233","51.5162622","-0.0661675"
"234","53.7684522","-2.6922821"
"235","51.5487142","-0.2318469"
"236","51.6069354","0.1636029"
"237","56.9712709","-2.230958"
"238","51.3776814","-0.1213471"
"239","54.6677664","-3.3543002"
"240","52.7316502","-1.3869917"
"241","51.4224476","-0.1880301"
"242","53.3947639","-2.3520231"
"243","53.5127139","-1.1324013"
"244","54.420396","-6.444382"
"245","51.5819317","-0.1574976"
"246","52.5840206","-0.2453087"
"247","51.9111383","-1.1484545"
"248","51.5043526","-0.2762014"
"249","51.6367299","-0.7697126"
"250","51.450832","-2.582696"
"251","54.2723064","-5.8899792"
"252","53.3723595","-2.2527961"
"253","51.545814","0.6820115"
"254","51.5996822","-0.2891519"
"255","51.5022757","-0.4292761"
"256","51.3851625","-0.0474672"
"257","51.5363289","-0.3543518"
"258","51.8192657","-0.8133052"
"259","51.875303","-2.216426"
"260","51.4520433","-0.0171834"
"261","51.1263024","0.2583077"
"262","50.7268319","-3.526801"
"263","51.5810868","-0.0219422"
"264","51.4276528","-0.0562763"
"265","51.4865526","-2.6415783"
"266","51.674312","-0.021793"
"267","52.0647301","1.2477515"
"268","51.5939195","-0.3319664"
"269","52.404956","-1.5151958"
"270","51.5269826","-0.0891788"
"271","51.3788766","-2.3572018"
"272","50.7278369","-2.0123948"
"273","51.5446618","-0.2872681"
"274","51.5613149","-0.2827006"
"275","51.3596741","-0.1388832"
"276","51.5584013","-0.0708042"
"277","51.5274293","-0.0889902"
"278","51.4886787","-0.4763707"
"279","50.7206727","-2.7157144"
"280","51.3897671","-0.2789061"
"281","51.567427","0.081612"
"282","51.559341","0.067377"
"283","51.5400095","-0.1406121"
"284","51.5931318","-0.3125433"
"285","51.4402162","0.3644415"
"286","51.6658092","-0.2831273"
"287","51.5653283","0.035913"
"288","51.4337315","0.3524188"
"289","51.6150118","-0.4160686"
"290","56.46664","-2.876665"
"291","52.9165955","-1.4779978"
"292","55.0657502","-1.5844874"
"293","51.5835703","0.2235358"
"294","51.5869488","-0.4083608"
"295","51.5473542","0.0356663"
"296","53.8556661","-1.5245245"
"297","51.5613307","-0.3663794"
"298","52.7245004","0.0829095"
"299","51.5673566","-0.0046712"
"300","52.4801401","-1.8342565"
"301","52.4063585","-1.4854786"
"302","51.5631567","-0.3178666"
"303","53.4952918","-2.2354163"
"304","51.5377361","-0.1406502"
"305","53.7163296","-1.8783657"
"306","53.8172863","-1.5721198"
"307","51.8744341","-1.1840889"
"308","53.4003013","-2.1547985"
"309","51.5269255","-0.3519117"
"310","51.5153114","-0.0238927"
"311","52.4837821","-1.8959868"
"312","51.5798645","-0.0056911"
"313","51.6496894","0.0498853"
"314","52.041758","-0.762843"
"315","51.4400883","0.369642"
"362","51.5755331","0.1238876"
"316","51.9252731","-1.189669"
"317","52.0080894","-0.4120148"
"318","52.6572119","-1.1238956"
"319","51.5474483","0.1065578"
"320","52.2376425","-0.8908528"
"321","51.3566733","-0.1176068"
"322","51.5645931","-0.3562553"
"323","52.6043621","-1.8462884"
"324","53.7987706","-1.7595974"
"325","51.536417","0.712817"
"326","53.4581361","-2.7252194"
"327","53.4581361","-2.7252194"
"328","53.6533766","-2.6353158"
"329","51.380399","-0.08744"
"330","52.2905697","-0.5980573"
"331","51.3949948","0.528566"
"332","52.468362","-1.855176"
"333","51.5275954","-0.1657425"
"334","52.5536862","-2.0178034"
"335","51.4379202","-2.0729897"
"336","53.687097","-0.327495"
"337","51.918056","-0.6759255"
"338","52.6308464","-1.1193844"
"339","52.628568","-1.121175"
"340","56.4808304","-3.0119631"
"341","51.3602193","-0.6941952"
"342","51.2911883","1.1076455"
"343","51.7222567","-0.3082089"
"344","51.535948","0.082147"
"345","51.1272256","0.2601115"
"346","51.3661272","0.2099249"
"347","53.5791845","-2.5389507"
"348","50.742141","-1.993245"
"349","50.742141","-1.993245"
"350","50.988621","-1.37245"
"351","51.4288412","-0.3545663"
"352","51.5184885","-0.1422307"
"353","51.40333","-0.192054"
"354","56.7154988","-2.4544308"
"355","51.619361","-0.1124717"
"356","51.2123156","-0.8054733"
"357","51.4677153","0.0175685"
"358","51.4472141","-0.1989993"
"359","53.436387","-2.165717"
"360","51.3954133","-0.1634283"
"361","55.9656923","-3.1931588"
"384","51.611146","-0.280086"
"363","51.4134201","-1.2215857"
